Date,Opponent,Home_Away,Points_For,Points_Against,Total_Yards,Pass_Yards,Rush_Yards,Turnovers,Opponent_Turnovers,Win_Loss,Season
2023-09-07,Kansas City Chiefs,Away,21,20,394,253,141,1,2,W,2023
2023-09-17,Seattle Seahawks,Home,37,31,445,323,122,0,1,W,2023
2023-09-24,Atlanta Falcons,Home,20,6,377,243,134,1,3,W,2023
2023-10-01,Green Bay Packers,Away,34,20,401,289,112,0,2,W,2023
2023-10-08,Carolina Panthers,Home,42,24,477,325,152,1,2,W,2023
2023-10-15,Tampa Bay Buccaneers,Away,20,6,305,253,52,1,2,W,2023
2023-10-22,Baltimore Ravens,Home,38,6,503,357,146,0,3,W,2023
2023-10-30,Las Vegas Raiders,Away,26,14,486,323,163,1,2,W,2023
2023-11-05,Los Angeles Chargers,Home,41,38,533,323,210,1,1,W,2023
2023-11-12,Chicago Bears,Away,31,26,425,289,136,1,2,W,2023
2023-11-19,Green Bay Packers,Home,29,22,401,268,133,0,1,W,2023
2023-11-23,New Orleans Saints,Home,33,28,445,289,156,1,2,W,2023
2023-12-03,Chicago Bears,Home,31,26,425,289,136,1,2,W,2023
2023-12-10,Denver Broncos,Away,42,17,448,323,125,0,2,W,2023
2023-12-16,Chicago Bears,Away,20,14,305,253,52,1,2,W,2023
2023-12-24,Minnesota Vikings,Home,30,24,401,268,133,0,1,W,2023
2023-12-30,Dallas Cowboys,Home,19,20,305,253,52,1,2,L,2023
2024-01-07,Minnesota Vikings,Away,20,30,305,253,52,1,2,L,2024
2024-01-14,Los Angeles Rams,Home,24,23,401,268,133,0,1,W,2024
2024-01-21,Tampa Bay Buccaneers,Home,31,23,445,289,156,1,2,W,2024
2024-01-28,San Francisco 49ers,Away,31,34,486,323,163,1,2,L,2024
2022-09-11,Philadelphia Eagles,Home,35,38,386,267,119,2,1,L,2022
2022-09-18,Washington Commanders,Home,36,27,425,289,136,1,2,W,2022
2022-09-25,Minnesota Vikings,Away,24,28,386,267,119,2,1,L,2022
2022-10-02,Seattle Seahawks,Home,48,45,533,323,210,1,1,W,2022
2022-10-09,New England Patriots,Away,0,29,312,229,83,1,0,L,2022
2022-10-16,Dallas Cowboys,Home,6,24,336,242,94,1,0,L,2022
2022-10-23,Miami Dolphins,Away,27,31,386,267,119,2,1,L,2022
2022-10-30,Green Bay Packers,Home,15,9,312,229,83,1,0,W,2022
2022-11-06,Chicago Bears,Away,31,30,425,289,136,1,2,W,2022
2022-11-13,New York Giants,Home,15,18,312,229,83,1,0,L,2022
2022-11-20,Buffalo Bills,Home,25,28,386,267,119,2,1,L,2022
2022-11-24,Chicago Bears,Home,31,30,425,289,136,1,2,W,2022
2022-12-04,Jacksonville Jaguars,Away,40,14,448,323,125,0,2,W,2022
2022-12-11,Minnesota Vikings,Home,23,34,312,229,83,1,0,L,2022
2022-12-18,New York Jets,Away,17,20,312,229,83,1,0,L,2022
2022-12-24,Carolina Panthers,Home,37,23,445,289,156,1,2,W,2022
2022-01-02,Green Bay Packers,Away,29,30,386,267,119,2,1,L,2022
2022-01-09,Green Bay Packers,Home,35,11,425,289,136,1,2,W,2022
2021-09-12,San Francisco 49ers,Home,33,41,430,337,93,1,0,L,2021
2021-09-20,Green Bay Packers,Away,17,35,430,246,184,1,0,L,2021
2021-09-26,Baltimore Ravens,Home,17,19,386,285,101,1,0,L,2021
2021-10-03,Chicago Bears,Away,14,24,188,151,37,1,0,L,2021
2021-10-10,Minnesota Vikings,Home,17,19,364,240,124,1,0,L,2021
2021-10-17,Cincinnati Bengals,Away,11,34,228,180,48,1,0,L,2021
2021-10-24,Los Angeles Rams,Home,19,28,415,334,81,1,0,L,2021
2021-10-31,Philadelphia Eagles,Home,6,44,230,191,39,1,0,L,2021
2021-11-07,Cleveland Browns,Away,16,13,290,245,45,1,0,W,2021
2021-11-14,Pittsburgh Steelers,Home,16,16,386,263,123,1,0,T,2021
2021-11-21,Cleveland Browns,Home,10,13,349,252,97,1,0,L,2021
2021-11-25,Chicago Bears,Away,16,14,317,209,108,1,0,W,2021
2021-12-05,Minnesota Vikings,Away,27,29,364,296,68,1,0,L,2021
2021-12-12,Denver Broncos,Home,10,38,230,174,56,1,0,L,2021
2021-12-19,Arizona Cardinals,Away,12,30,257,209,48,1,0,L,2021
2021-12-26,Atlanta Falcons,Home,20,16,386,296,90,1,0,W,2021
2021-01-02,Seattle Seahawks,Away,29,51,364,296,68,1,0,L,2021
2021-01-09,Green Bay Packers,Home,20,35,364,296,68,1,0,L,2021
2020-09-13,Chicago Bears,Home,23,27,426,297,129,1,0,L,2020
2020-09-20,Green Bay Packers,Away,21,42,386,267,119,1,0,L,2020
2020-09-27,Arizona Cardinals,Away,26,23,377,243,134,1,0,W,2020
2020-10-04,New Orleans Saints,Home,29,35,408,284,124,1,0,L,2020
2020-10-11,Jacksonville Jaguars,Away,34,16,408,284,124,1,0,W,2020
2020-10-18,Atlanta Falcons,Home,23,22,377,243,134,1,0,W,2020
2020-10-25,Indianapolis Colts,Away,21,41,377,243,134,1,0,L,2020
2020-11-01,Minnesota Vikings,Home,23,20,377,243,134,1,0,W,2020
2020-11-08,Minnesota Vikings,Away,20,34,377,243,134,1,0,L,2020
2020-11-15,Washington Football Team,Away,27,30,377,243,134,1,0,L,2020
2020-11-22,Carolina Panthers,Home,20,0,377,243,134,1,0,W,2020
2020-11-26,Houston Texans,Home,20,27,377,243,134,1,0,L,2020
2020-12-06,Chicago Bears,Away,34,30,377,243,134,1,0,W,2020
2020-12-13,Green Bay Packers,Home,7,31,377,243,134,1,0,L,2020
2020-12-20,Tennessee Titans,Away,25,46,377,243,134,1,0,L,2020
2020-12-27,Tampa Bay Buccaneers,Home,7,47,377,243,134,1,0,L,2020
2020-01-03,Minnesota Vikings,Away,37,35,377,243,134,1,0,W,2020
2020-01-09,Green Bay Packers,Home,20,35,377,243,134,1,0,L,2020
2019-09-08,Arizona Cardinals,Away,27,27,385,289,96,1,0,T,2019
2019-09-15,Los Angeles Chargers,Home,10,13,230,174,56,1,0,L,2019
2019-09-22,Philadelphia Eagles,Away,27,24,385,289,96,1,0,W,2019
2019-09-29,Kansas City Chiefs,Home,30,34,385,289,96,1,0,L,2019
2019-10-06,Green Bay Packers,Away,22,23,385,289,96,1,0,L,2019
2019-10-14,Minnesota Vikings,Home,19,42,385,289,96,1,0,L,2019
2019-10-20,New York Giants,Away,26,31,385,289,96,1,0,L,2019
2019-10-27,Oakland Raiders,Home,24,31,385,289,96,1,0,L,2019
2019-11-03,Chicago Bears,Away,20,19,385,289,96,1,0,W,2019
2019-11-10,Dallas Cowboys,Home,27,35,385,289,96,1,0,L,2019
2019-11-17,Washington Redskins,Away,16,19,385,289,96,1,0,L,2019
2019-11-24,Chicago Bears,Home,20,13,385,289,96,1,0,W,2019
2019-11-28,Green Bay Packers,Away,20,23,385,289,96,1,0,L,2019
2019-12-08,Minnesota Vikings,Away,7,20,385,289,96,1,0,L,2019
2019-12-15,Tampa Bay Buccaneers,Home,20,38,385,289,96,1,0,L,2019
2019-12-22,Denver Broncos,Away,17,27,385,289,96,1,0,L,2019
2019-12-29,Green Bay Packers,Home,17,23,385,289,96,1,0,L,2019
